詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
25233,臺華共同詞,清涼,tshing-liâng,氣候溫度,25233(1),,,,,,,,,,,,,,,,,,,
25234,臺華共同詞,清爽,tshing-sóng,心理狀態,25234(1),,,,,,,,,,,,,,,,,,,
25235,臺華共同詞,清醒,tshing-tshénn/tshing-tshínn,反應、表情,25235(1),,,,,,,,,,,,,,,,,,,
25236,臺華共同詞,異鄉,ī-hiong,空間方位,25236(1),,,,,,,,,,,,,,,,,,,
25237,臺華共同詞,祭典,tsè-tián,相關器具、活動,25237(1),,,,,,,,,,,,,,,,,,,
25238,臺華共同詞,祭拜,tsè-pài,相關器具、活動,25238(1),,,,,,,,,,,,,,,,,,,
25239,臺華共同詞,脫衣舞,thuat-i-bú,休閒、娛樂,25239(1),,,,,,,,,,,,,,,,,,,
25240,臺華共同詞,莫名,bo̍k-bîng,,25240(1),,,,,,,,,,,,,,,,,,,
25241,臺華共同詞,處長,tshù-tiúnn,相關用語,25241(1),,,,,,,,,,,,,,,,,,,
25242,臺華共同詞,規章,kui-tsiong,語言、文字、符號,25242(1),,,,,,,,,,,,,,,,,,,
25243,臺華共同詞,訪談,hóng-tâm,生活勞動,25243(1),,,,,,,,,,,,,,,,,,,
25244,臺華共同詞,貨車,huè-tshia/hè-tshia,旅運設施,25244(1),,,,,,,,,,,,,,,,,,,
25245,臺華共同詞,貨運,huè-ūn/hè-ūn,旅運設施,25245(1),,,,,,,,,,,,,,,,,,,
25246,臺華共同詞,閉幕,pì-bōo,相關用語,25246(1),,,,,,,,,,,,,,,,,,,
25247,臺華共同詞,陸地,lio̍k-tē/lio̍k-tuē,地理,25247(1),,,,,,,,,,,,,,,,,,,
25248,臺華共同詞,勞改,lô-kái,生活勞動,25248(1),,,,,,,,,,,,,,,,,,,
25249,臺華共同詞,圍觀,uî-kuan,一般動詞-行為動詞,25249(1),,,,,,,,,,,,,,,,,,,
25250,臺華共同詞,報刊,pò-khan,"生活用品,休閒、娛樂",25250(1),,,,,,,,,,,,,,,,,,,
25251,臺華共同詞,報考,pò-khó,一般動詞-行為動詞,25251(1),,,,,,,,,,,,,,,,,,,
25252,臺華共同詞,復健,ho̍k-kiān,醫療保健,25252(1),,,,,,,,,,,,,,,,,,,
25253,臺華共同詞,惡夢,ok-bāng,心理活動,25253(1),,,,,,,,,,,,,,,,,,,
25254,臺華共同詞,散佈,sàn-pòo,,25254(1),,,,,,,,,,,,,,,,,,,
25255,臺華共同詞,港都,káng-too,"空間方位,居住環境",25255(1),,,,,,,,,,,,,,,,,,,
25256,臺華共同詞,渡過,tōo-kuè,生活狀況,25256(1),,,,,,,,,,,,,,,,,,,
25257,臺華共同詞,減弱,kiám-jio̍k/kiám-lio̍k,性質、程度,25257(1),,,,,,,,,,,,,,,,,,,
25258,臺華共同詞,減稅,kiám-suè/kiám-sè,"相關用語,財務單位、活動",25258(1),,,,,,,,,,,,,,,,,,,
25259,臺華共同詞,無心,bô-sim,心理狀態,25259(1),,,,,,,,,,,,,,,,,,,
25260,臺華共同詞,童話,tông-uē,文學、藝術,25260(1),,,,,,,,,,,,,,,,,,,
25261,臺華共同詞,策畫,tshik-uē,生活勞動,25261(1),,,,,,,,,,,,,,,,,,,
25262,臺華共同詞,筆友,pit-iú,稱謂輩分,25262(1),,,,,,,,,,,,,,,,,,,
25263,臺華共同詞,筆記,pit-kì,"生活用品,一般動詞-行為動詞",25263(1),,,,,,,,,,,,,,,,,,,
25264,臺華共同詞,結晶,kiat-tsinn,形貌、體積,25264(1),"[{""漢字"": ""結晶"", ""羅馬字"": ""kiat-tsing""}]",,,,,,,,,,,,,,,,,,
25265,臺華共同詞,絕食,tsua̍t-si̍t,飲食行為,25265(1),,,,,,,,,,,,,,,,,,,
25266,臺華共同詞,視察,sī-tshat,相關用語,25266(1),,,,,,,,,,,,,,,,,,,
25267,臺華共同詞,評量,phîng-liông,生活勞動,25267(1),,,,,,,,,,,,,,,,,,,
25268,臺華共同詞,跑車,pháu-tshia,旅運設施,25268(1),,,,,,,,,,,,,,,,,,,
25269,臺華共同詞,週年,tsiu-nî,時間節令,25269(1),,,,,,,,,,,,,,,,,,,
25270,臺華共同詞,進修,tsìn-siu,教育、學術,25270(1),,,,,,,,,,,,,,,,,,,
25271,臺華共同詞,郵資,iû-tsu,郵電、網路,25271(1),,,,,,,,,,,,,,,,,,,
25272,臺華共同詞,開展,khai-tián,事、物泛稱,25272(1),,,,,,,,,,,,,,,,,,,
25273,臺華共同詞,開除,khai-tû,相關用語,25273(1),"[{""漢字"": ""開除"", ""羅馬字"": ""khai-tî""}]",,,,,,,,,,,,,,,,,,
25274,臺華共同詞,開採,khai-tshái,生活勞動,25274(1),,,,,,,,,,,,,,,,,,,
25275,臺華共同詞,開戰,khai-tsiàn,軍事,25275(1),,,,,,,,,,,,,,,,,,,
25276,臺華共同詞,開機,khui-ki,一般動詞-行為動詞,25276(1),,,,,,,,,,,,,,,,,,,
25277,臺華共同詞,亂象,luān-siōng,生活狀況,25277(1),,,,,,,,,,,,,,,,,,,
25278,臺華共同詞,傷者,siong-tsiá,傷疾病痛,25278(1),,,,,,,,,,,,,,,,,,,
25279,臺華共同詞,園地,uân-tē/uân-tuē,居住環境,25279(1),"[{""漢字"": ""園地"", ""羅馬字"": ""hn̂g-tē/hn̂g-tuē""}]",,,,,,,,,,,,,,,,,,
25280,臺華共同詞,圓形,înn-hîng,形貌、體積,25280(1),,,,,,,,,,,,,,,,,,,
25281,臺華共同詞,感念,kám-liām,心理活動,25281(1),,,,,,,,,,,,,,,,,,,
25282,臺華共同詞,感嘆,kám-thàn,心理活動,25282(1),,,,,,,,,,,,,,,,,,,
25283,臺華共同詞,愛國,ài-kok,心理狀態,25283(1),,,,,,,,,,,,,,,,,,,
25284,臺華共同詞,愛惜,ài-sioh,"反應、表情,心理活動",25284(1),,,,,,,,,,,,,,,,,,,
25285,臺華共同詞,愛護,ài-hōo,心理活動,25285(1),,,,,,,,,,,,,,,,,,,
25286,臺華共同詞,新生,sin-sing,稱謂輩分,25286(1),,,,,,,,,,,,,,,,,,,
25287,臺華共同詞,會務,huē-bū,事、物泛稱,25287(1),,,,,,,,,,,,,,,,,,,
25288,臺華共同詞,毽子,kiàn-tsí,體育、運動,25288(1),,,,,,,,,,,,,,,,,,,
25289,臺華共同詞,滄桑,tshong-song,生活狀況,25289(1),,,,,,,,,,,,,,,,,,,
25290,臺華共同詞,照護,tsiàu-hōo,醫療保健,25290(1),,,,,,,,,,,,,,,,,,,
25291,臺華共同詞,禁令,kìm-līng,生活狀況,25291(1),,,,,,,,,,,,,,,,,,,
25292,臺華共同詞,罪名,tsuē-miâ,法律,25292(1),,,,,,,,,,,,,,,,,,,
25293,臺華共同詞,腦海,náu-hái,心理活動,25293(1),,,,,,,,,,,,,,,,,,,
25294,臺華共同詞,解放,kái-hòng,生活狀況,25294(1),,,,,,,,,,,,,,,,,,,
25295,臺華共同詞,試車,tshì-tshia,交通、運輸,25295(1),,,,,,,,,,,,,,,,,,,
25296,臺華共同詞,試飛,tshì-pue/tshì-pe,交通、運輸,25296(1),,,,,,,,,,,,,,,,,,,
25297,臺華共同詞,試題,tshì-tê/tshì-tuê,教育、學術,25297(1),,,,,,,,,,,,,,,,,,,
25298,臺華共同詞,話語,uē-gí/uē-gú,語言、文字、符號,25298(1),,,,,,,,,,,,,,,,,,,
25299,臺華共同詞,資政,tsu-tsìng,,25299(1),,,,,,,,,,,,,,,,,,,
25300,臺華共同詞,運費,ūn-huì,"交通、運輸,錢財資產",25300(1),,,,,,,,,,,,,,,,,,,
25301,臺華共同詞,運鈔車,ūn-tshau-tshia,旅運設施,25301(1),,,,,,,,,,,,,,,,,,,
25302,臺華共同詞,運勢,ūn-sè,相關器具、活動,25302(1),,,,,,,,,,,,,,,,,,,
25303,臺華共同詞,道場,tō-tiûnn,相關器具、活動,25303(1),,,,,,,,,,,,,,,,,,,
25304,臺華共同詞,逼近,pik-kīn/pik-kūn,一般動詞-靜態動詞,25304(1),,,,,,,,,,,,,,,,,,,
25305,臺華共同詞,違建,uî-kiàn,建築物、結構,25305(1),,,,,,,,,,,,,,,,,,,
25306,臺華共同詞,鉛管,iân-kóng,生產工具,25306(1),,,,,,,,,,,,,,,,,,,
25307,臺華共同詞,電訊,tiān-sìn,郵電、網路,25307(1),,,,,,,,,,,,,,,,,,,
25308,臺華共同詞,電極,tiān-ki̍k,災禍,25308(1),,,,,,,,,,,,,,,,,,,
25309,臺華共同詞,頒發,pan-huat,一般動詞-行為動詞,25309(1),,,,,,,,,,,,,,,,,,,
25310,臺華共同詞,僑生,kiâu-sing,地位、身世、背景,25310(1),,,,,,,,,,,,,,,,,,,
25311,臺華共同詞,嘉惠,ka-huī,一般動詞-靜態動詞,25311(1),,,,,,,,,,,,,,,,,,,
25312,臺華共同詞,圖示,tôo-sī,語言、文字、符號,25312(1),,,,,,,,,,,,,,,,,,,
25313,臺華共同詞,對岸,tuì-huānn,空間方位,25313(1),,,,,,,,,,,,,,,,,,,
25314,臺華共同詞,幕後,bōo-āu,"相關用語,戲劇、音樂",25314(1),,,,,,,,,,,,,,,,,,,
25315,臺華共同詞,構思,kòo-su,一般動詞-靜態動詞,25315(1),,,,,,,,,,,,,,,,,,,
25316,臺華共同詞,歌星,kua-tshenn/kua-tshinn,相關用語,25316(1),,,,,,,,,,,,,,,,,,,
25317,臺華共同詞,演化,ián-huà,動物形體、行為,25317(1),,,,,,,,,,,,,,,,,,,
25318,臺華共同詞,滿漢全席,buán-hàn-tsuân-si̍k,食物、飲料、煙酒,25318(1),,,,,,,,,,,,,,,,,,,
25319,臺華共同詞,漫遊,bān-iû,郵電、網路,25319(1),,,,,,,,,,,,,,,,,,,
25320,臺華共同詞,漁場,hî-tiûnn/hû-tiûnn,漁牧業,25320(1),,,,,,,,,,,,,,,,,,,
25321,臺華共同詞,精良,tsing-liông,性質、程度,25321(1),,,,,,,,,,,,,,,,,,,
25322,臺華共同詞,綠化,li̍k-huà,生活勞動,25322(1),,,,,,,,,,,,,,,,,,,
25323,臺華共同詞,綿羊,mî-iûnn,獸類,25323(1),,,,,,,,,,,,,,,,,,,
25324,臺華共同詞,綿延,biân-iân,性質、程度,25324(1),,,,,,,,,,,,,,,,,,,
25325,臺華共同詞,翡翠,huí-tshuì,珠寶飾品,25325(1),,,,,,,,,,,,,,,,,,,
25326,臺華共同詞,舞男,bú-lâm,相關用語,25326(1),,,,,,,,,,,,,,,,,,,
25327,臺華共同詞,製藥,tsè-io̍h,相關用語,25327(1),,,,,,,,,,,,,,,,,,,
25328,臺華共同詞,輕型,khin-hîng,形貌、體積,25328(1),,,,,,,,,,,,,,,,,,,
25329,臺華共同詞,遙遠,iâu-uán,性質、程度,25329(1),,,,,,,,,,,,,,,,,,,
25330,臺華共同詞,銅牌,tâng-pâi,體育、運動,25330(1),,,,,,,,,,,,,,,,,,,
25331,臺華共同詞,銅像,tâng-siōng,生活用品,25331(1),,,,,,,,,,,,,,,,,,,
25332,臺華共同詞,審理,sím-lí,法律,25332(1),,,,,,,,,,,,,,,,,,,
25333,臺華共同詞,影星,iánn-tshenn/iánn-tshinn,相關用語,25333(1),,,,,,,,,,,,,,,,,,,
25334,臺華共同詞,影展,iánn-tián,休閒、娛樂,25334(1),,,,,,,,,,,,,,,,,,,
25335,臺華共同詞,憂傷,iu-siong,反應、表情,25335(1),,,,,,,,,,,,,,,,,,,
25336,臺華共同詞,樂手,ga̍k-tshiú,相關用語,25336(1),,,,,,,,,,,,,,,,,,,
25337,臺華共同詞,樂迷,ga̍k-bê,相關用語,25337(1),,,,,,,,,,,,,,,,,,,
25338,臺華共同詞,熱切,jia̍t-tshiat/lia̍t-tshiat,反應、表情,25338(1),,,,,,,,,,,,,,,,,,,
25339,臺華共同詞,熱戀,jia̍t-luân/lia̍t-luân,性別、婚姻,25339(1),,,,,,,,,,,,,,,,,,,
25340,臺華共同詞,獎助,tsióng-tsōo,財務單位、活動,25340(1),,,,,,,,,,,,,,,,,,,
25341,臺華共同詞,篇幅,phian-hok,語言、文字、符號,25341(1),,,,,,,,,,,,,,,,,,,
25342,臺華共同詞,練球,liān-kiû,體育、運動,25342(1),,,,,,,,,,,,,,,,,,,
25343,臺華共同詞,衛教,uē-kàu,教育、學術,25343(1),"[{""漢字"": ""衛教"", ""羅馬字"": ""uī-kàu""}]",,,,,,,,,,,,,,,,,,
25344,臺華共同詞,論述,lūn-su̍t,一般動詞-靜態動詞,25344(1),,,,,,,,,,,,,,,,,,,
25345,臺華共同詞,論戰,lūn-tsiàn,生活勞動,25345(1),,,,,,,,,,,,,,,,,,,
25346,臺華共同詞,質料,tsit-liāu,衣帽鞋襪,25346(1),,,,,,,,,,,,,,,,,,,
25347,臺華共同詞,遷入,tshian-ji̍p/tshian-li̍p,房屋租賃、搬遷,25347(1),,,,,,,,,,,,,,,,,,,
25348,臺華共同詞,鄰長,lîn-tiúnn,相關用語,25348(1),,,,,,,,,,,,,,,,,,,
25349,臺華共同詞,養份,ióng-hūn,食物、飲料、煙酒,25349(1),,,,,,,,,,,,,,,,,,,
25350,臺華共同詞,駕照,kà-tsiàu,生活用品,25350(1),,,,,,,,,,,,,,,,,,,
25351,臺華共同詞,學區,ha̍k-khu,教育、學術,25351(1),,,,,,,,,,,,,,,,,,,
25352,臺華共同詞,導航,tō-hâng,交通、運輸,25352(1),,,,,,,,,,,,,,,,,,,
25353,臺華共同詞,導遊,tō-iû,服務業及其他,25353(1),,,,,,,,,,,,,,,,,,,
25354,臺華共同詞,憲政,hiàn-tsìng,政治,25354(1),,,,,,,,,,,,,,,,,,,
25355,臺華共同詞,整型,tsíng-hîng,醫療保健,25355(1),,,,,,,,,,,,,,,,,,,
25356,臺華共同詞,整建,tsíng-kiàn,相關用語,25356(1),,,,,,,,,,,,,,,,,,,
25357,臺華共同詞,機票,ki-phiò,旅運設施,25357(1),,,,,,,,,,,,,,,,,,,
25358,臺華共同詞,濃縮,lông-sok,性質、程度,25358(1),,,,,,,,,,,,,,,,,,,
25359,臺華共同詞,激動,kik-tōng,反應、表情,25359(1),"[{""漢字"": ""激動"", ""羅馬字"": ""ki̍k-tōng""}]",,,,,,,,,,,,,,,,,,
25360,臺華共同詞,縣政,kuān-tsìng,政治,25360(1),,,,,,,,,,,,,,,,,,,
25361,臺華共同詞,遴選,lîn-suán,政治,25361(1),,,,,,,,,,,,,,,,,,,
25362,臺華共同詞,選罷法,suán-pā-huat,法律,25362(1),,,,,,,,,,,,,,,,,,,
25363,臺華共同詞,遲到,tî-tò,一般動詞-行為動詞,25363(1),,,,,,,,,,,,,,,,,,,
25364,臺華共同詞,遺傳,uî-thuân,醫療保健,25364(1),,,,,,,,,,,,,,,,,,,
25365,臺華共同詞,遺體,uî-thé,生養老死,25365(1),,,,,,,,,,,,,,,,,,,
25366,臺華共同詞,雕塑,tiau-sok,生活勞動,25366(1),,,,,,,,,,,,,,,,,,,
25367,臺華共同詞,雕像,tiau-siōng,文學、藝術,25367(1),,,,,,,,,,,,,,,,,,,
25368,臺華共同詞,靜電,tsīng-tiān,自然現象,25368(1),,,,,,,,,,,,,,,,,,,
25369,臺華共同詞,靜態,tsīng-thài,性質、程度,25369(1),,,,,,,,,,,,,,,,,,,
25370,臺華共同詞,餐會,tshan-huē,飲食行為,25370(1),,,,,,,,,,,,,,,,,,,
25371,臺華共同詞,優勝,iu-sìng,性質、程度,25371(1),,,,,,,,,,,,,,,,,,,
25372,臺華共同詞,應變,ìng-piàn,"才智能力,心理活動",25372(1),,,,,,,,,,,,,,,,,,,
25373,臺華共同詞,擬訂,gí-tīng,生活勞動,25373(1),,,,,,,,,,,,,,,,,,,
25374,臺華共同詞,檢疫,kiám-i̍k,醫療保健,25374(1),,,,,,,,,,,,,,,,,,,
25375,臺華共同詞,檢警,kiám-kíng,"軍公教業,法律",25375(1),"[{""漢字"": ""檢警"", ""羅馬字"": ""kiám-kìng""}]",,,,,,,,,,,,,,,,,,
25376,臺華共同詞,溼地,sip-tē/sip-tuē,自然現象,25376(1),,,,,,,,,,,,,,,,,,,
25377,臺華共同詞,營隊,iânn-tuī,組織團體,25377(1),,,,,,,,,,,,,,,,,,,
25378,臺華共同詞,總隊,tsóng-tuī,組織團體,25378(1),,,,,,,,,,,,,,,,,,,
25379,臺華共同詞,繁華,huân-huâ,居住環境,25379(1),,,,,,,,,,,,,,,,,,,
25380,臺華共同詞,聯手,liân-tshiú,性質、程度,25380(1),,,,,,,,,,,,,,,,,,,
25381,臺華共同詞,聯考,liân-khó,教育、學術,25381(1),,,,,,,,,,,,,,,,,,,
25382,臺華共同詞,聯隊,liân-tuī,組織團體,25382(1),,,,,,,,,,,,,,,,,,,
25383,臺華共同詞,聯誼,liân-gî,性別、婚姻,25383(1),,,,,,,,,,,,,,,,,,,
25384,臺華共同詞,鍛鍊,tuàn-liān,體育、運動,25384(1),"[{""漢字"": ""鍛鍊"", ""羅馬字"": ""thuàn-liān""}]",,,,,,,,,,,,,,,,,,
25385,臺華共同詞,黏膜,liâm-mo̍oh,生理構造,25385(1),,,,,,,,,,,,,,,,,,,
25386,臺華共同詞,點播,tiám-pòo,休閒、娛樂,25386(1),"[{""漢字"": ""點播"", ""羅馬字"": ""tiám-pò""}]",,,,,,,,,,,,,,,,,,
25387,臺華共同詞,點點滴滴,tiám-tiám-tih-tih,,25387(1),,,,,,,,,,,,,,,,,,,
25388,臺華共同詞,歸納,kui-la̍p,一般動詞-靜態動詞,25388(1),,,,,,,,,,,,,,,,,,,
25389,臺華共同詞,禮遇,lé-gū,交際應酬,25389(1),,,,,,,,,,,,,,,,,,,
25390,臺華共同詞,簡介,kán-kài,事、物泛稱,25390(1),,,,,,,,,,,,,,,,,,,
25391,臺華共同詞,簡體字,kán-thé-jī/kán-thé-lī,語言、文字、符號,25391(1),,,,,,,,,,,,,,,,,,,
25392,臺華共同詞,醫藥,i-io̍h,醫療保健,25392(1),,,,,,,,,,,,,,,,,,,
25393,臺華共同詞,鎮民,tìn-bîn,組織團體,25393(1),,,,,,,,,,,,,,,,,,,
25394,臺華共同詞,雜草,tsa̍p-tsháu,花草樹木,25394(1),,,,,,,,,,,,,,,,,,,
25395,臺華共同詞,雙層,siang-tsân,形貌、體積,25395(1),"[{""漢字"": ""雙層"", ""羅馬字"": ""siang-tsàn""}]",,,,,,,,,,,,,,,,,,
25396,臺華共同詞,雞精,ke-tsing/kue-tsing,食物、飲料、煙酒,25396(1),,,,,,,,,,,,,,,,,,,
25397,臺華共同詞,騎車,khiâ-tshia,交通、運輸,25397(1),,,,,,,,,,,,,,,,,,,
25398,臺華共同詞,騎馬,khiâ-bé,交通、運輸,25398(1),,,,,,,,,,,,,,,,,,,
25399,臺華共同詞,藝壇,gē-tuânn,文學、藝術,25399(1),,,,,,,,,,,,,,,,,,,
25400,臺華共同詞,藥品,io̍h-phín,醫療保健,25400(1),,,,,,,,,,,,,,,,,,,
25401,臺華共同詞,邊界,pian-kài,空間方位,25401(1),,,,,,,,,,,,,,,,,,,
25402,臺華共同詞,競標,kīng-pio,財務單位、活動,25402(1),"[{""漢字"": ""競標"", ""羅馬字"": ""kìng-pio""}]",,,,,,,,,,,,,,,,,,
25403,臺華共同詞,籌辦,tiû-pān,生活勞動,25403(1),,,,,,,,,,,,,,,,,,,
25404,臺華共同詞,籃板,nâ-pán,體育、運動,25404(1),,,,,,,,,,,,,,,,,,,
25405,臺華共同詞,議事,gī-sū,,25405(1),,,,,,,,,,,,,,,,,,,
25406,臺華共同詞,警匪,kíng-huí,法律,25406(1),,,,,,,,,,,,,,,,,,,
25407,臺華共同詞,黨旗,tóng-kî,政治,25407(1),,,,,,,,,,,,,,,,,,,
25408,臺華共同詞,贓物,tsong-bu̍t,法律,25408(1),,,,,,,,,,,,,,,,,,,
25409,臺華共同詞,聽力,thiann-li̍k,醫療保健,25409(1),,,,,,,,,,,,,,,,,,,
25410,臺華共同詞,變革,piàn-kik,一般動詞-行為動詞,25410(1),,,,,,,,,,,,,,,,,,,
25411,臺華共同詞,變態,piàn-thài,相關用語,25411(1),,,,,,,,,,,,,,,,,,,
25412,臺華共同詞,驗收,giām-siu,生活勞動,25412(1),,,,,,,,,,,,,,,,,,,
25413,臺華共同詞,體內,thé-lāi,生理構造,25413(1),,,,,,,,,,,,,,,,,,,
25414,臺華共同詞,體型,thé-hîng,體態樣貌,25414(1),,,,,,,,,,,,,,,,,,,
25415,臺華共同詞,體積,thé-tsik,形貌、體積,25415(1),,,,,,,,,,,,,,,,,,,
25416,臺華共同詞,體檢,thé-kiám,醫療保健,25416(1),,,,,,,,,,,,,,,,,,,
25417,臺華共同詞,讚揚,tsàn-iông,待人處事,25417(1),,,,,,,,,,,,,,,,,,,
25418,臺華共同詞,人世,jîn-sè/lîn-sè,空間方位,25418(1),,,,,,,,,,,,,,,,,,,
25419,臺華共同詞,人群,jîn-kûn/lîn-kûn,組織團體,25419(1),,,,,,,,,,,,,,,,,,,
25420,臺華共同詞,入伍,ji̍p-ngóo/li̍p-ngóo,軍公教業,25420(1),,,,,,,,,,,,,,,,,,,
25421,臺華共同詞,三軍,sam-kun,軍事,25421(1),,,,,,,,,,,,,,,,,,,
25422,臺華共同詞,下令,hā-līng,一般動詞-行為動詞,25422(1),,,,,,,,,,,,,,,,,,,
25423,臺華共同詞,下台,hā-tâi,一般動詞-行為動詞,25423(1),,,,,,,,,,,,,,,,,,,
25424,臺華共同詞,下課,hā-khò,教育、學術,25424(1),,,,,,,,,,,,,,,,,,,
25425,臺華共同詞,上岸,tsiūnn-huānn,旅行,25425(1),,,,,,,,,,,,,,,,,,,
25426,臺華共同詞,上將,siōng-tsiòng,"軍公教業,軍事",25426(1),,,,,,,,,,,,,,,,,,,
25427,臺華共同詞,上網,tsiūnn-bāng,郵電、網路,25427(1),,,,,,,,,,,,,,,,,,,
25428,臺華共同詞,亡國,bông-kok,軍事,25428(1),,,,,,,,,,,,,,,,,,,
25429,臺華共同詞,千辛萬苦,tshian-sin-bān-khóo,性質、程度,25429(1),,,,,,,,,,,,,,,,,,,
25430,臺華共同詞,口號,kháu-hō,語言、文字、符號,25430(1),,,,,,,,,,,,,,,,,,,
25431,臺華共同詞,大王,tāi-ông,地位、身世、背景,25431(1),,,,,,,,,,,,,,,,,,,
25432,臺華共同詞,大衣,tuā-i,衣帽鞋襪,25432(1),,,,,,,,,,,,,,,,,,,
25433,臺華共同詞,大西洋,Tāi-se-iûnn,"地理,空間方位",25433(1),,,,,,,,,,,,,,,,,,,
25434,臺華共同詞,大炮,tuā-phàu,軍事,25434(1),,,,,,,,,,,,,,,,,,,
25435,臺華共同詞,大專,tāi-tsuan,教育、學術,25435(1),,,,,,,,,,,,,,,,,,,
25436,臺華共同詞,大麻,tuā-muâ,食物、飲料、煙酒,25436(1),,,,,,,,,,,,,,,,,,,
25437,臺華共同詞,大牌,tuā-pâi,地位、身世、背景,25437(1),,,,,,,,,,,,,,,,,,,
25438,臺華共同詞,大筆,tuā-pit,數詞、量詞,25438(1),,,,,,,,,,,,,,,,,,,
25439,臺華共同詞,大綱,tāi-kong,語言、文字、符號,25439(1),,,,,,,,,,,,,,,,,,,
25440,臺華共同詞,大體,tāi-thé,生養老死,25440(1),,,,,,,,,,,,,,,,,,,
25441,臺華共同詞,山羊,suann-iûnn,獸類,25441(1),,,,,,,,,,,,,,,,,,,
25442,臺華共同詞,山莊,san-tsong,建築物、結構,25442(1),,,,,,,,,,,,,,,,,,,
25443,臺華共同詞,山路,suann-lōo,道路、橋梁,25443(1),,,,,,,,,,,,,,,,,,,
25444,臺華共同詞,山歌,san-ko,戲劇、音樂,25444(1),,,,,,,,,,,,,,,,,,,
25445,臺華共同詞,工資,kang-tsu,"相關用語,錢財資產",25445(1),,,,,,,,,,,,,,,,,,,
25446,臺華共同詞,中止,tiong-tsí,一般動詞-靜態動詞,25446(1),,,,,,,,,,,,,,,,,,,
25447,臺華共同詞,中選會,Tiong-suán-huē,組織團體,25447(1),,,,,,,,,,,,,,,,,,,
25448,臺華共同詞,中藥,tiong-io̍h,醫療保健,25448(1),,,,,,,,,,,,,,,,,,,
25449,臺華共同詞,互助,hōo-tsōo,待人處事,25449(1),,,,,,,,,,,,,,,,,,,
25450,臺華共同詞,互惠,hōo-huī,待人處事,25450(1),,,,,,,,,,,,,,,,,,,
25451,臺華共同詞,五星級,gōo-tshenn-kip/gōo-tshinn-kip,性質、程度,25451(1),"[{""漢字"": ""五星級"", ""羅馬字"": ""gōo-sing-kip""}]",,,,,,,,,,,,,,,,,,
25452,臺華共同詞,內戰,lāi-tsiàn,軍事,25452(1),,,,,,,,,,,,,,,,,,,
25453,臺華共同詞,公報,kong-pò,生活用品,25453(1),,,,,,,,,,,,,,,,,,,
25454,臺華共同詞,公演,kong-ián,戲劇、音樂,25454(1),,,,,,,,,,,,,,,,,,,
25455,臺華共同詞,公爵,kong-tsiok,地位、身世、背景,25455(1),,,,,,,,,,,,,,,,,,,
25456,臺華共同詞,公職,kong-tsit,軍公教業,25456(1),,,,,,,,,,,,,,,,,,,
25457,臺華共同詞,分化,hun-huà,一般動詞-靜態動詞,25457(1),,,,,,,,,,,,,,,,,,,
25458,臺華共同詞,分支,hun-tsi,性質、程度,25458(1),,,,,,,,,,,,,,,,,,,
25459,臺華共同詞,分貝,hun-puè,數詞、量詞,25459(1),,,,,,,,,,,,,,,,,,,
25460,臺華共同詞,分級,hun-kip,生活勞動,25460(1),,,,,,,,,,,,,,,,,,,
25461,臺華共同詞,分區,hun-khu,生活勞動,25461(1),,,,,,,,,,,,,,,,,,,
25462,臺華共同詞,分割,hun-kuah,一般動詞-行為動詞,25462(1),,,,,,,,,,,,,,,,,,,
25463,臺華共同詞,分隊,hun-tuī,組織團體,25463(1),,,,,,,,,,,,,,,,,,,
25464,臺華共同詞,分擔,hun-tam,生活狀況,25464(1),,,,,,,,,,,,,,,,,,,
25465,臺華共同詞,切開,tshiat-khui,一般動詞-行為動詞,25465(1),,,,,,,,,,,,,,,,,,,
25466,臺華共同詞,切斷,tshiat-tn̄g,一般動詞-行為動詞,25466(1),,,,,,,,,,,,,,,,,,,
25467,臺華共同詞,化石,huà-tsio̍h,資源礦物,25467(1),,,,,,,,,,,,,,,,,,,
25468,臺華共同詞,升等,sing-tíng,一般動詞-靜態動詞,25468(1),,,,,,,,,,,,,,,,,,,
25469,臺華共同詞,反感,huán-kám,待人處事,25469(1),,,,,,,,,,,,,,,,,,,
25470,臺華共同詞,反轉,huán-tsuán,一般動詞-行為動詞,25470(1),,,,,,,,,,,,,,,,,,,
25471,臺華共同詞,天平,thian-pîng,生活用品,25471(1),,,,,,,,,,,,,,,,,,,
25472,臺華共同詞,天災,thian-tsai,災禍,25472(1),,,,,,,,,,,,,,,,,,,
25473,臺華共同詞,天際,thian-tsè,空間方位,25473(1),,,,,,,,,,,,,,,,,,,
25474,臺華共同詞,天價,thian-kè,相關用語,25474(1),,,,,,,,,,,,,,,,,,,
25475,臺華共同詞,太子,thài-tsú,地位、身世、背景,25475(1),,,,,,,,,,,,,,,,,,,
25476,臺華共同詞,幻滅,huàn-bia̍t,心理活動,25476(1),,,,,,,,,,,,,,,,,,,
25477,臺華共同詞,引領,ín-líng,一般動詞-行為動詞,25477(1),,,,,,,,,,,,,,,,,,,
25478,臺華共同詞,心跳,sim-thiàu,"反應、表情,醫療保健",25478(1),,,,,,,,,,,,,,,,,,,
