詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
4322,主詞目,爭,tsenn(白)/tsinn(白),待人處事,4322(1),,,,"鹿港偏泉腔：tsinn
三峽偏泉腔：tsinn
臺北偏泉腔：tsinn
宜蘭偏漳腔：tsenn
臺南混合腔：tsenn
高雄混合腔：tsenn
金門偏泉腔：tsinn
馬公偏泉腔：tsinn
新竹偏泉腔：tsinn
臺中偏漳腔：tsenn",,,,,,,1. (動詞) 奪取、互不相讓。,1. 動詞,1. 相爭 (sio-tsenn),1. 相爭,1. 4322-1-1,,,,
4323,主詞目,爸,pâ,"宗族、家庭,稱謂輩分",4323(1),"[{""漢字"": ""爸"", ""羅馬字"": ""pa""}]",,,,,,,,,,1. (名詞) 爸、爹。稱謂。子女對父親當面的稱呼。,1. 名詞,"1. 爸，我欲出門矣。 (Pâ, guá beh tshut-mn̂g--ah.)",1. 爸，我要出門了。,1. 4323-1-1,1. 老爸/阿爸/阿爹/爸仔,,,
4324,主詞目,爸,pē,"宗族、家庭,稱謂輩分",4324(1),,,,,,,,爸,,,1. (名詞) 父、爹。稱謂。子女提到父親的表述。,1. 名詞,1. 阮老爸無佇咧。 (Guán lāu-pē bô tī--leh.),1. 我爸爸不在這裡。,1. 4324-1-1,1. 老爸/阿爸/阿爹,,,
4325,主詞目,版,pán,"生產工具,教育、學術,數詞、量詞",4325(1),,,,,,,,,,,"1. (名詞) 印刷所用的版本樣式，上面已有拼組或刻鑄著既定的文字或圖形。
2. (名詞) 報紙或雜誌的單面。
3. (量詞) 計算書本出版次數的單位。
4. (名詞) 書籍版本的稱簡。","1. 名詞
2. 名詞
3. 量詞
4. 名詞","1. 排版 (pâi-pán)
2-1. 頭版 (thâu-pán)
2-2. 版面 (pán-bīn)
3-1. 初版 (tshoo pán)
3-2. 二版 (jī pán)
4. 宋版 (Sòng-pán)","1. 排版
2-1. 頭版
2-2. 版面
3-1. 初版
3-2. 第二版
4. 宋朝版本的書籍","1. 4325-1-1
2-1. 4325-2-1
2-2. 4325-2-2
3-1. 4325-3-1
3-2. 4325-3-2
4. 4325-4-1",,,,
4326,主詞目,物,bu̍t(文),事、物泛稱,4326(1),,,,,,,,,,,1. (名詞) 存在於天地間一切人、事、物的通稱。,1. 名詞,"1. 動物 (tōng-bu̍t)
2. 植物 (si̍t-bu̍t)
3. 萬物 (bān-bu̍t)","1. 動物
2. 植物
3. 萬物","1. 4326-1-1
2. 4326-1-2
3. 4326-1-3",,,,
4327,主詞目,物,mi̍h(白)/mn̍gh(白),事、物泛稱,4327(1),,,,,,,,,,,1. (名詞) 存在於天地間一切人、事、物的通稱。,1. 名詞,1. 物件 (mi̍h-kiānn),1. 東西,1. 4327-1-1,,,,
4328,主詞目,狀,tsn̄g(白),法律,4328(1),,,,,,,,,文件,,"1. (名詞) 敘述事實的文章。現通稱打官司的呈文。
2. (名詞) 獎勵或證明用的文書。","1. 名詞
2. 名詞","1. 訴狀 (sòo-tsn̄g)
2-1. 獎狀 (tsióng-tsn̄g)
2-2. 權狀 (khuân-tsn̄g)","1. 訴狀
2-1. 獎狀
2-2. 權狀","1. 4328-1-1
2-1. 4328-2-1
2-2. 4328-2-2",,,,
4329,主詞目,狗,káu(白),獸類,4329(1),,,,,,,,,,,1. (名詞) 常見家畜的一種。嗅覺和聽覺很靈敏，可訓練來追蹤、守衛、導盲、救生或飼養為寵物，且性情忠誠，被喻為人類的朋友。十二生肖排序第十一的生肖。,1. 名詞,,,,1. 狗仔,,,
4330,主詞目,狗𩸶仔,káu-gām-á,魚蝦海獸,4330(1),"[{""漢字"": ""狗𩸶仔"", ""羅馬字"": ""káu-kām-á""}]",,,,,,,,,,1. (名詞) 蝦虎魚。魚類。屬鱸魚的一種，為淡水魚，活動於淺水岩石間，因體輕，魚腹有吸盤可吸附在石頭上，以避免被激流沖走。,1. 名詞,,,,,,,
4331,主詞目,狀元,tsiōng-guân,"相關用語,教育、學術",4331(1),,,,,,,,,,,"1. (名詞) 榜首。稱現在各類考試中的第一名。
2. (名詞) 中國古代科舉制度中，殿試第一名者稱「狀元」。","1. 名詞
2. 名詞",1. 彼个就是這擺考試的狀元。 (Hit ê tō sī tsit pái khó-tshì ê tsiōng-guân.),1. 那位就是這次考試的榜首。,1. 4331-1-1,,,,
4332,主詞目,狗公,káu-kang,獸類,4332(1),,,,,,,,,,,1. (名詞) 公狗。,1. 名詞,,,,,,,
4333,主詞目,狗公腰,káu-kang-io,泛稱,4333(1),,,,,,,,,,,1. (名詞) 指胸肌發達、腰圍收束的腰。一般用來形容男人。,1. 名詞,,,,,,,
4334,主詞目,注文,tsù-bûn,一般動詞-行為動詞,4334(1),,,,,,,,注文,,,1. (動詞) 預訂、預約。事先訂購。源自日語「注文（ちゅうもん）」。,1. 動詞,"1. 這項物件做袂赴通賣，你若欲愛著注文。 (Tsit hāng mi̍h-kiānn tsò bē-hù thang bē, lí nā beh ài tio̍h tsù-bûn.)",1. 這件東西賣到沒有現貨，你若要要事先訂購。,1. 4334-1-1,1. 定/訂/定貨/交定,,,
4335,主詞目,炊斗,tshue-táu/tshe-táu,"生產工具,飲食物具",4335(1),,,,,,,,,,,1. (名詞) 蒸籠。一種用來蒸熟米飯的桶形蒸具，一般用竹片、木片等製成。,1. 名詞,,,,1. 炊床/籠床,,,
4336,主詞目,狗牙,káu-gê,生理構造,4336(1),,,,,,,,,,,1. (名詞) 犬齒。,1. 名詞,,,,1. 角齒/豬哥牙,,,
4337,主詞目,狗仔,káu-á,獸類,4337(1),,,,,,,,,,,1. (名詞) 小狗。,1. 名詞,,,,1. 狗,,,
4338,主詞目,爸母,pē-bú,"宗族、家庭,稱謂輩分",4338(1),,,,,,,,爸母,,,1. (名詞) 父母。稱謂。父親與母親。,1. 名詞,,,,1. 父母/老的,,,
4339,主詞目,狗母,káu-bó,獸類,4339(1),"[{""漢字"": ""狗母"", ""羅馬字"": ""káu-bú""}]",,,,,,,,,,1. (名詞) 母狗。,1. 名詞,,,,,,,
